,Gene,Cluster
364,ENSG00000146676,1.0
365,ENSG00000152380,1.0
366,ENSG00000064651,1.0
367,ENSG00000072415,1.0
368,ENSG00000244486,1.0
369,ENSG00000114757,1.0
370,ENSG00000171469,1.0
371,ENSG00000165650,1.0
372,ENSG00000106993,1.0
373,ENSG00000183423,1.0
374,ENSG00000066777,1.0
375,ENSG00000162086,1.0
376,ENSG00000261799,1.0
377,ENSG00000136122,1.0
378,ENSG00000164743,1.0
379,ENSG00000154001,1.0
380,ENSG00000139687,1.0
381,ENSG00000169118,1.0
382,ENSG00000237984,1.0
383,ENSG00000275854,1.0
384,ENSG00000236554,1.0
385,ENSG00000163818,1.0
386,ENSG00000099625,1.0
387,ENSG00000058729,1.0
388,ENSG00000117222,1.0
389,ENSG00000103710,1.0
390,ENSG00000132912,1.0
391,ENSG00000120662,1.0
392,ENSG00000105879,1.0
393,ENSG00000205765,1.0
394,ENSG00000174007,1.0
395,ENSG00000274561,1.0
396,ENSG00000105708,1.0
397,ENSG00000176244,1.0
398,ENSG00000085433,1.0
399,ENSG00000107371,1.0
400,ENSG00000168772,1.0
401,ENSG00000157426,1.0
402,ENSG00000114686,1.0
403,ENSG00000163527,1.0
404,ENSG00000031003,1.0
405,ENSG00000137710,1.0
406,ENSG00000129009,1.0
407,ENSG00000260947,1.0
408,ENSG00000197579,1.0
409,ENSG00000169439,1.0
410,ENSG00000104343,1.0
411,ENSG00000271553,1.0
412,ENSG00000257218,1.0
413,ENSG00000171150,1.0
414,ENSG00000065883,1.0
415,ENSG00000205189,1.0
416,ENSG00000134046,1.0
417,ENSG00000205339,1.0
418,ENSG00000196715,1.0
419,ENSG00000248632,1.0
420,ENSG00000119912,1.0
421,ENSG00000178053,1.0
422,ENSG00000112079,1.0
423,ENSG00000102786,1.0
424,ENSG00000167904,1.0
425,ENSG00000153207,1.0
426,ENSG00000239789,1.0
427,ENSG00000136522,1.0
428,ENSG00000135549,1.0
429,ENSG00000155008,1.0
430,ENSG00000096654,1.0
431,ENSG00000147669,1.0
432,ENSG00000095002,1.0
433,ENSG00000143942,1.0
434,ENSG00000224531,1.0
435,ENSG00000277534,1.0
436,ENSG00000163249,1.0
437,ENSG00000154642,1.0
438,ENSG00000027697,1.0
439,ENSG00000166068,1.0
440,ENSG00000143156,1.0
441,ENSG00000167193,1.0
442,ENSG00000170647,1.0
443,ENSG00000124613,1.0
444,ENSG00000155329,1.0
445,ENSG00000092853,1.0
446,ENSG00000122741,1.0
447,ENSG00000080824,1.0
448,ENSG00000117133,1.0
449,ENSG00000164548,1.0
450,ENSG00000197056,1.0
451,ENSG00000163104,1.0
452,ENSG00000161551,1.0
453,ENSG00000259726,1.0
454,ENSG00000224687,1.0
455,ENSG00000180957,1.0
456,ENSG00000135211,1.0
457,ENSG00000172315,1.0
458,ENSG00000066583,1.0
459,ENSG00000071994,1.0
460,ENSG00000196981,1.0
461,ENSG00000139697,1.0
462,ENSG00000085231,1.0
463,ENSG00000011114,1.0
464,ENSG00000215644,1.0
465,ENSG00000104218,1.0
466,ENSG00000188163,1.0
467,ENSG00000198576,1.0
468,ENSG00000268869,1.0
469,ENSG00000242156,1.0
470,ENSG00000115750,1.0
471,ENSG00000176714,1.0
472,ENSG00000196670,1.0
473,ENSG00000047621,1.0
474,ENSG00000139977,1.0
475,ENSG00000110330,1.0
476,ENSG00000115484,1.0
477,ENSG00000107443,1.0
478,ENSG00000135974,1.0
479,ENSG00000073921,1.0
480,ENSG00000183309,1.0
481,ENSG00000196116,1.0
482,ENSG00000162642,1.0
483,ENSG00000157741,1.0
484,ENSG00000136152,1.0
485,ENSG00000129534,1.0
486,ENSG00000185009,1.0
487,ENSG00000131115,1.0
488,ENSG00000189164,1.0
489,ENSG00000147118,1.0
490,ENSG00000214114,1.0
491,ENSG00000189042,1.0
492,ENSG00000144840,1.0
493,ENSG00000121486,1.0
494,ENSG00000106780,1.0
495,ENSG00000165121,1.0
496,ENSG00000165527,1.0
497,ENSG00000081014,1.0
498,ENSG00000196268,1.0
499,ENSG00000120913,1.0
500,ENSG00000188227,1.0
501,ENSG00000174405,1.0
502,ENSG00000204789,1.0
503,ENSG00000272345,1.0
504,ENSG00000113643,1.0
505,ENSG00000147124,1.0
506,ENSG00000198000,1.0
507,ENSG00000100664,1.0
508,ENSG00000197619,1.0
509,ENSG00000105948,1.0
510,ENSG00000168275,1.0
511,ENSG00000118402,1.0
512,ENSG00000167637,1.0
513,ENSG00000167528,1.0
514,ENSG00000114062,1.0
515,ENSG00000148154,1.0
516,ENSG00000205808,1.0
517,ENSG00000086189,1.0
518,ENSG00000275052,1.0
519,ENSG00000065548,1.0
520,ENSG00000175305,1.0
521,ENSG00000245680,1.0
522,ENSG00000153767,1.0
523,ENSG00000164040,1.0
524,ENSG00000104064,1.0
525,ENSG00000112208,1.0
526,ENSG00000178913,1.0
527,ENSG00000221909,1.0
528,ENSG00000110344,1.0
529,ENSG00000196591,1.0
530,ENSG00000109171,1.0
531,ENSG00000140993,1.0
532,ENSG00000163904,1.0
533,ENSG00000087502,1.0
534,ENSG00000112773,1.0
535,ENSG00000186272,1.0
536,ENSG00000261542,1.0
537,ENSG00000166260,1.0
538,ENSG00000181016,1.0
539,ENSG00000137574,1.0
