,Gene,Cluster
372,ENSG00000165389,4.0
373,ENSG00000173041,4.0
374,ENSG00000162368,4.0
375,ENSG00000272936,4.0
376,ENSG00000164114,4.0
377,ENSG00000114405,4.0
378,ENSG00000100744,4.0
379,ENSG00000174840,4.0
380,ENSG00000180773,4.0
381,ENSG00000124795,4.0
382,ENSG00000088179,4.0
383,ENSG00000128791,4.0
384,ENSG00000204264,4.0
385,ENSG00000118402,4.0
386,ENSG00000134987,4.0
387,ENSG00000283245,4.0
388,ENSG00000140367,4.0
389,ENSG00000133703,4.0
390,ENSG00000273284,4.0
391,ENSG00000250486,4.0
392,ENSG00000122176,4.0
393,ENSG00000272800,4.0
394,ENSG00000134709,4.0
395,ENSG00000260317,4.0
396,ENSG00000184517,4.0
397,ENSG00000115084,4.0
398,ENSG00000237070,4.0
399,ENSG00000275318,4.0
400,ENSG00000108064,4.0
401,ENSG00000224389,4.0
402,ENSG00000272054,4.0
403,ENSG00000175087,4.0
404,ENSG00000100097,4.0
405,ENSG00000052723,4.0
406,ENSG00000011600,4.0
407,ENSG00000076053,4.0
408,ENSG00000197780,4.0
409,ENSG00000158411,4.0
410,ENSG00000179476,4.0
411,ENSG00000214367,4.0
412,ENSG00000197323,4.0
413,ENSG00000140299,4.0
414,ENSG00000254539,4.0
415,ENSG00000280347,4.0
416,ENSG00000271894,4.0
417,ENSG00000182359,4.0
418,ENSG00000153989,4.0
419,ENSG00000038210,4.0
420,ENSG00000204923,4.0
421,ENSG00000119820,4.0
422,ENSG00000177576,4.0
423,ENSG00000272137,4.0
424,ENSG00000146247,4.0
425,ENSG00000110422,4.0
426,ENSG00000165312,4.0
427,ENSG00000108256,4.0
428,ENSG00000106565,4.0
429,ENSG00000198483,4.0
430,ENSG00000164070,4.0
431,ENSG00000151743,4.0
432,ENSG00000139687,4.0
433,ENSG00000114933,4.0
434,ENSG00000165416,4.0
435,ENSG00000177879,4.0
436,ENSG00000041982,4.0
437,ENSG00000283495,4.0
438,ENSG00000075790,4.0
439,ENSG00000279483,4.0
440,ENSG00000197776,4.0
441,ENSG00000272755,4.0
