,Gene,Cluster
663,ENSG00000177888,1.0
664,ENSG00000082258,1.0
665,ENSG00000173599,1.0
666,ENSG00000099849,1.0
667,ENSG00000271971,1.0
668,ENSG00000160932,1.0
669,ENSG00000164506,1.0
670,ENSG00000186862,1.0
671,ENSG00000006283,1.0
672,ENSG00000180155,1.0
673,ENSG00000188529,1.0
674,ENSG00000169193,1.0
675,ENSG00000115268,1.0
676,ENSG00000111181,1.0
677,ENSG00000113594,1.0
678,ENSG00000072133,1.0
679,ENSG00000188038,1.0
680,ENSG00000145214,1.0
681,ENSG00000067955,1.0
682,ENSG00000178809,1.0
683,ENSG00000110711,1.0
684,ENSG00000143554,1.0
685,ENSG00000132953,1.0
686,ENSG00000145817,1.0
687,ENSG00000113163,1.0
688,ENSG00000115827,1.0
689,ENSG00000106665,1.0
690,ENSG00000120137,1.0
691,ENSG00000139323,1.0
692,ENSG00000134780,1.0
693,ENSG00000146122,1.0
694,ENSG00000030582,1.0
695,ENSG00000122971,1.0
696,ENSG00000170906,1.0
697,ENSG00000117500,1.0
698,ENSG00000105829,1.0
699,ENSG00000115421,1.0
700,ENSG00000134970,1.0
701,ENSG00000275052,1.0
702,ENSG00000096433,1.0
703,ENSG00000107738,1.0
704,ENSG00000101752,1.0
705,ENSG00000111880,1.0
706,ENSG00000130313,1.0
707,ENSG00000173801,1.0
708,ENSG00000167711,1.0
709,ENSG00000065717,1.0
710,ENSG00000120756,1.0
711,ENSG00000108239,1.0
712,ENSG00000104774,1.0
713,ENSG00000109501,1.0
714,ENSG00000149781,1.0
715,ENSG00000164708,1.0
716,ENSG00000138767,1.0
717,ENSG00000182552,1.0
718,ENSG00000187609,1.0
719,ENSG00000172893,1.0
720,ENSG00000151650,1.0
721,ENSG00000164073,1.0
722,ENSG00000163527,1.0
723,ENSG00000123684,1.0
724,ENSG00000083312,1.0
725,ENSG00000100116,1.0
726,ENSG00000116337,1.0
727,ENSG00000149541,1.0
728,ENSG00000103363,1.0
729,ENSG00000269983,1.0
730,ENSG00000050820,1.0
731,ENSG00000213465,1.0
732,ENSG00000113441,1.0
733,ENSG00000120159,1.0
734,ENSG00000179832,1.0
735,ENSG00000144224,1.0
736,ENSG00000129946,1.0
737,ENSG00000182400,1.0
738,ENSG00000148341,1.0
739,ENSG00000270096,1.0
740,ENSG00000104756,1.0
741,ENSG00000172830,1.0
742,ENSG00000117054,1.0
743,ENSG00000213722,1.0
744,ENSG00000104219,1.0
745,ENSG00000109332,1.0
746,ENSG00000197170,1.0
747,ENSG00000130222,1.0
748,ENSG00000197114,1.0
749,ENSG00000102781,1.0
750,ENSG00000198836,1.0
751,ENSG00000198400,1.0
752,ENSG00000198146,1.0
753,ENSG00000111679,1.0
754,ENSG00000100243,1.0
755,ENSG00000047346,1.0
756,ENSG00000155100,1.0
757,ENSG00000148180,1.0
758,ENSG00000007080,1.0
759,ENSG00000164163,1.0
760,ENSG00000105329,1.0
761,ENSG00000104894,1.0
762,ENSG00000136848,1.0
763,ENSG00000153130,1.0
764,ENSG00000184702,1.0
765,ENSG00000108256,1.0
766,ENSG00000100031,1.0
767,ENSG00000124126,1.0
768,ENSG00000132485,1.0
769,ENSG00000180233,1.0
770,ENSG00000040608,1.0
771,ENSG00000130876,1.0
772,ENSG00000163743,1.0
773,ENSG00000117266,1.0
774,ENSG00000008382,1.0
775,ENSG00000173041,1.0
776,ENSG00000175305,1.0
777,ENSG00000250571,1.0
778,ENSG00000175895,1.0
779,ENSG00000182359,1.0
780,ENSG00000182272,1.0
781,ENSG00000067191,1.0
782,ENSG00000136378,1.0
783,ENSG00000092445,1.0
784,ENSG00000117533,1.0
785,ENSG00000158106,1.0
786,ENSG00000185728,1.0
787,ENSG00000186010,1.0
788,ENSG00000143416,1.0
789,ENSG00000091039,1.0
790,ENSG00000050767,1.0
791,ENSG00000089820,1.0
792,ENSG00000174738,1.0
793,ENSG00000128242,1.0
794,ENSG00000197223,1.0
795,ENSG00000139746,1.0
796,ENSG00000068724,1.0
797,ENSG00000184203,1.0
798,ENSG00000177600,1.0
799,ENSG00000233927,1.0
800,ENSG00000171094,1.0
801,ENSG00000161914,1.0
802,ENSG00000093010,1.0
803,ENSG00000260526,1.0
804,ENSG00000149091,1.0
805,ENSG00000095370,1.0
806,ENSG00000100918,1.0
807,ENSG00000180448,1.0
808,ENSG00000102981,1.0
809,ENSG00000127418,1.0
810,ENSG00000176973,1.0
811,ENSG00000125676,1.0
812,ENSG00000171204,1.0
813,ENSG00000107331,1.0
814,ENSG00000167904,1.0
815,ENSG00000074266,1.0
816,ENSG00000130731,1.0
817,ENSG00000258498,1.0
818,ENSG00000105472,1.0
819,ENSG00000014123,1.0
820,ENSG00000029363,1.0
821,ENSG00000105669,1.0
822,ENSG00000058272,1.0
823,ENSG00000088881,1.0
824,ENSG00000110324,1.0
825,ENSG00000213639,1.0
826,ENSG00000108679,1.0
827,ENSG00000086619,1.0
828,ENSG00000055118,1.0
829,ENSG00000129128,1.0
830,ENSG00000103152,1.0
831,ENSG00000132388,1.0
832,ENSG00000159753,1.0
833,ENSG00000164463,1.0
834,ENSG00000162601,1.0
835,ENSG00000257949,1.0
836,ENSG00000132205,1.0
837,ENSG00000173846,1.0
838,ENSG00000101132,1.0
839,ENSG00000137876,1.0
840,ENSG00000096717,1.0
841,ENSG00000151233,1.0
842,ENSG00000167702,1.0
843,ENSG00000068976,1.0
844,ENSG00000142102,1.0
845,ENSG00000106123,1.0
846,ENSG00000127415,1.0
847,ENSG00000182827,1.0
848,ENSG00000060749,1.0
849,ENSG00000075303,1.0
850,ENSG00000204536,1.0
851,ENSG00000184545,1.0
852,ENSG00000108107,1.0
853,ENSG00000138768,1.0
854,ENSG00000007376,1.0
855,ENSG00000148288,1.0
856,ENSG00000177706,1.0
857,ENSG00000196482,1.0
858,ENSG00000102471,1.0
859,ENSG00000163607,1.0
860,ENSG00000141646,1.0
861,ENSG00000213983,1.0
862,ENSG00000163818,1.0
863,ENSG00000062725,1.0
864,ENSG00000023287,1.0
865,ENSG00000137845,1.0
866,ENSG00000132356,1.0
867,ENSG00000113851,1.0
868,ENSG00000165169,1.0
869,ENSG00000170667,1.0
870,ENSG00000009844,1.0
871,ENSG00000002933,1.0
872,ENSG00000154001,1.0
873,ENSG00000108773,1.0
874,ENSG00000204525,1.0
875,ENSG00000085274,1.0
876,ENSG00000170276,1.0
877,ENSG00000070404,1.0
878,ENSG00000175161,1.0
879,ENSG00000163714,1.0
880,ENSG00000109062,1.0
881,ENSG00000116406,1.0
882,ENSG00000087076,1.0
883,ENSG00000171928,1.0
884,ENSG00000148400,1.0
885,ENSG00000205309,1.0
886,ENSG00000171443,1.0
