,sample,clusters
315,60_4,3.0
316,62_2,2.0
317,63_2,1.0
318,65_2,3.0
319,66_3,3.0
320,67_3,3.0
321,68_2,2.0
100,6_1,0.0
323,70_3,3.0
324,71_2,2.0
325,72_2,1.0
326,73_4,3.0
327,75_2,1.0
328,76_3,3.0
329,77_2,1.0
330,78_3,3.0
331,79_3,3.0
322,7_3,1.0
333,80_2,2.0
101,81_1,0.0
334,82_2,1.0
335,84_2,3.0
336,85_2,3.0
337,86_2,1.0
338,87_2,3.0
102,89_1,0.0
332,8_2,1.0
339,90_2,1.0
340,91_2,2.0
341,92_3,3.0
342,93_2,2.0
343,94_4,3.0
344,95_4,3.0
345,96_3,1.0
346,97_2,1.0
347,98_3,1.0
104,99_1,0.0
103,9_1,0.0
